ID,F635 Median,B635 Median,F532 Median,B532 Median
hAD4383,209.0,0.0,129.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,13.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
chAB7233,1281.0,0.0,1052.0,0.0
chAA0450,788.0,0.0,511.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAD2444,136.0,0.0,16.0,0.0
hAD2505,466.0,0.0,227.0,0.0
hAD2594,645.0,0.0,402.0,0.0
hAD2677,306.0,0.0,96.0,0.0
hAD4371,975.0,0.0,487.0,0.0
hAD4373,0.0,0.0,0.0,0.0
hAD4377,394.0,0.0,220.0,0.0
hAB7693,985.0,0.0,701.0,0.0
hAB7861,130.0,0.0,120.0,0.0
hAB7872,3563.0,0.0,852.0,0.0
hAB9123,906.0,0.0,434.0,0.0
hAB9161,0.0,0.0,0.0,0.0
hAB9332,2863.0,0.0,1378.0,0.0
hAB9517,3617.0,0.0,294.0,0.0
hAC7900,790.0,0.0,470.0,0.0
hAC7908,459.0,0.0,323.0,0.0
hAC7930,703.0,0.0,484.0,0.0
hAC7953,366.0,0.0,282.0,0.0
hAC8138,840.0,0.0,447.0,0.0
hAC8157,345.0,0.0,217.0,0.0
hAC8201,244.0,0.0,49.0,0.0
hAC8207,330.0,0.0,154.0,0.0
hAA5317,277.0,0.0,249.0,0.0
hAA5353,421.0,0.0,233.0,0.0
hAA6361,1641.0,0.0,448.0,0.0
hAA6518,2869.0,0.0,1496.0,0.0
hAA6541,1581.0,0.0,1214.0,0.0
hAA6685,906.0,0.0,297.0,0.0
hAA9926,104.0,0.0,46.0,0.0
hAA9966,1162.0,0.0,447.0,0.0
hAB0076,2180.0,0.0,656.0,0.0
hAB0080,677.0,0.0,407.0,0.0
hAB0577,2231.0,0.0,1492.0,0.0
hAB0607,727.0,0.0,907.0,0.0
hAB0724,1337.0,0.0,325.0,0.0
